id,nazivu,univerzitet,naziv,nivo,trajanje,polje,zvanje,skolarina,skolarina2,bs1,bs2,bs3,bs4,bs5,bs6,bs,ss1,ss2,ss3,ss4,ss5,ss6,ss,sss1,sss2,sss3,sss4,sss5,sss6,sss,studenata,zstudenata,espb_budzet,espb_samo
113,Висока школа струковних студија-Београдсак политехника,,Графички дизајн,Основне струковне,180,Уметност,Струковни дизајнер,97000,1000,36,42,88,,,,166,30,14,108,,,,152,,,1,,,,1,319,60,6941,4354
113,Висока школа струковних студија-Београдсак политехника,,Дизајн индустријских производа,Основне струковне,180,Уметност,Струковни дизајнер,97000,1000,30,30,54,,,,114,16,13,47,,,,76,0,0,0,,,,0,190,39,4918,2255
113,Висока школа струковних студија-Београдсак политехника,,Модни дизајн производа од коже,Основне струковне,180,Уметност,Струковни дизајнер,97000,1000,30,23,30,,,,83,13,10,28,,,,51,1,0,1,,,,2,136,16,3278,1037
139,Висока школа струковних студија за образовање васпитача и тренера у Суботици,,Струковни ликовни уметник,Основне струковне,180,Уметност,Струковни ликовни уметник,95000,1.2,0,0,0,,,,0,0,0,0,,,,0,,,,,,,0,0,0,0,0
121,"Висока струковна школа за текстил, Лесковац",,осс Модни дизајн,Основне струковне,180,Уметност,Струковни дизајнер,30000,600,8,11,13,,,,32,1,,1,,,,2,,,,,,,0,34,0,0,0
121,"Висока струковна школа за текстил, Лесковац",,Дигитални дизајн одеће,Спец. струковне,60,Уметност,Специјалиста струковни дизајнер,75000,1000,,,,,,,0,8,,,,,,8,,,,,,,0,8,2,0,370
120,"В.текстил. струк.ш. за дизајн, технологију и менаџмент, Београд",,Дизајн текстила и одеће,Основне струковне,180,Уметност,Струковни дизајнер,95000,2000,53,52,72,,,,177,9,3,42,,,,54,0,0,0,,,,0,231,61,6986,409
112,"В.технолошка школа струковних студија, Аранђеловац",,Дизајн керамике и камена,Основне струковне,180,Уметност,Струковни дизајнер,59900,1000,10,8,7,,,,25,0,1,0,,,,1,0,0,0,,,,0,26,4,1158,28
107,"Висока ш.ликов.и примењ.уметности струк. студија, Београд",,Графички дизајн,Основне струковне,180,Уметност,Струковни дизајнер,96000,1283,10,11,10,0,0,0,31,5,4,4,0,0,0,13,0,0,0,0,0,0,0,44,19,1789,836
107,"Висока ш.ликов.и примењ.уметности струк. студија, Београд",,Дизајн ентеријера,Основне струковне,180,Уметност,Струковни дизајнер,96000,1283,10,11,10,0,0,0,31,4,2,8,0,0,0,14,1,0,0,0,0,0,1,46,11,1749,506
107,"Висока ш.ликов.и примењ.уметности струк. студија, Београд",,Медији слике,Основне струковне,180,Уметност,Струковни ликовни уметник,96000,1283,10,11,12,0,0,0,33,5,5,7,0,0,0,17,0,0,0,0,0,0,0,50,7,1773,398
230,Висока школа Академија српске православне цркве за уметност и консервацију - Београд,,Црквене уметности ОАС,Основне академске,240,Уметност,Дипломирани ликовни уметник,180000,1500,0,0,0,0,,,0,10,7,10,6,,,33,0,0,0,0,,,0,33,0,0,0
230,Висока школа Академија српске православне цркве за уметност и консервацију - Београд,,Обнова и чување ОАС,Основне академске,240,Уметност,Дипломирани конзерватор и рестауратор,180000,1500,0,0,0,0,,,0,9,5,7,5,,,26,0,0,0,0,,,0,26,3,0,720
